productid,productname,categoryname,farmname,farmprovince
6116fdf3-473f-4324-af54-1b950076ef52,Xoài Cát,Trái cây,Trang trại trái cây,Quảng Nam
e24af3cd-fc9f-400c-8c76-8aba05a803b5,Cải Bẹ Xanh,Rau lá,Rau Hữu Cơ,Lâm Đồng
b7237f07-c2bf-48d7-a630-3faaac02cfcc,Gạo ST25,Lương thực,Gạo sạch ,Đồng Tháp
95827b65-ec7b-405b-bd26-6558d04211cf,Gạo nếp,Lương thực,Gạo sạch ,Đồng Tháp
aaa373ef-1cfe-4e6a-9c87-eeba7eaec713,Mãng Cầu Xiêm,Trái cây,Ngũ sắc,Dak Lak
b11d5edc-9b25-4eab-8f56-aae3476a7082,Rau cải ngồng ,Rau lá,Happiness Farm,Lâm Đồng
ff2a70c5-3606-4e4a-af5a-cac6a860cab6,Cải Bẹ Xanh,Rau lá,Hòa Bình,Lâm Đồng
ffcb432e-fc34-4881-adad-42e90f2d9fec,Chuối Tiêu,Trái cây,Trang trại trái cây,Quảng Nam
082496bb-56c6-4ecc-84af-3c46bebec65f,Bắp Cải Tím,Rau lá,PuppyFarm,Lâm Đồng
ae4b4eee-886c-47fd-8bb2-6126dcb5f0ae,Rau ngót,Rau lá,Trang Trại Quỳnh Ngọc,Dak Lak
8c928aca-de9e-4d19-8915-fe4fb1c63ca7,Ổi Hồng,Trái cây,Trang trại trái cây,Quảng Nam
f1aa0ac5-e531-4a37-9da8-c71367b8f203,Bí Xanh,Rau quả,Trang Trại Xanh,Dak Lak
8c80487d-9cb4-49df-ab63-9cde11eaf0a8,Xoài Keo,Trái cây,Ngũ sắc,Dak Lak
e78f8e7b-706a-4b3e-a137-16af136e81bf,Bí Xanh,Rau quả,Rau Hữu Cơ,Lâm Đồng
7322fc17-a36f-4391-8eb5-0a263c060d85,Rau dền tím,Rau lá,Trang Trại Xanh,Dak Lak
87a8b5fb-6e0a-4062-9319-dc9f23faf5a5,Bí Xanh,Rau quả,Hòa Bình,Lâm Đồng
9707b860-f329-419d-acb2-9113a142b7f2,Cà chua,Rau quả,Green Farm,Dak Lak
fc3ec894-3b3e-480c-97e6-6f7e92029051,Cam Sành,Trái cây,Trang Trại Xanh,Dak Lak
b1955c4b-f011-4fd3-b92e-a38a92955a50,Gạo thơm thái,Lương thực,Gạo sạch ,Đồng Tháp
997fa52b-548d-437e-a183-9ba64cff62ac,Cải Thảo,Rau lá,Hòa Bình,Lâm Đồng
373419b8-b75b-4421-b6e5-6baf13a60918,Bắp Mỹ,Lương thực,Mây Mây,Đắk Lăk
3854e48e-b69c-4ab6-ae4b-99f28650b4e1,Nho Mỹ,Trái cây,Ngũ sắc,Dak Lak
cbf585bb-6a0e-4eb7-9c3b-e0b373028fcc,Cải ngọt,Rau lá,PuppyFarm,Lâm Đồng
878be5be-7ef7-4912-b0a5-fd18f6cd4201,Bí đỏ,Rau quả,Rau Hữu Cơ,Lâm Đồng
3c59ef98-feae-442d-85f1-39285e665a17,Nho Mỹ,Trái cây,Green Farm,Dak Lak
20955018-a13b-4e52-afd0-ede45b7a417f,Bắp nếp,Lương thực,Mây Mây,Đắk Lăk
793e3062-fda8-4ebe-bec3-82c0e6e479f9,Bạc hà,Rau gia vị,Trang Trại Xanh,Dak Lak
71694d49-0fd5-47f8-ba53-3ba5beb8ebce,Đậu xanh,Lương thực,Mây Mây,Đắk Lăk
de77e80f-9035-4149-b2c0-be762d2012bf,Hành lá,Rau gia vị,Trang Trại Xanh,Dak Lak
f126a3d5-9bf6-4cc2-80d6-f967979332c1,Ớt Chuông,Rau gia vị,PuppyFarm,Lâm Đồng
9efb3a6b-7c00-44e8-ae77-af67b604f973,Ớt xiêm,Rau gia vị,Green Farm,Dak Lak
2fc69a3e-4eaa-4f83-816e-86e208e1080f,Bí đỏ,Rau quả,Trang Trại Xanh,Dak Lak
4fdbc9d0-775d-47f7-a49b-14472af06506,Bí đỏ,Rau quả,Hòa Bình,Lâm Đồng
f0bb7ae4-e6ef-4d01-95ae-4227920d52b3,Dưa Chuột,Rau quả,Trang Trại Xanh,Dak Lak
abecbec8-7832-40e8-95e3-3bbafd24b73f,Nho Mỹ,Trái cây,Hòa Bình,Lâm Đồng
c69cd8ff-0939-4b5e-8861-867ac4ed7298,Xoài Keo,Trái cây,Happiness Farm,Lâm Đồng
9bef9087-6d9c-4bd7-8248-b96202905dcd,Rau tần ô,Rau lá,Trang Trại Xanh,Dak Lak
ebb9d192-e38a-4051-a092-e774cdc399f1,Đậu cô ve,Rau quả,Cầu Đất Farm,Lâm Đồng
6a8c4009-0e0f-4323-bc3e-7b60ccca13cb,Gừng,Củ,Cầu Đất Farm,Lâm Đồng
7abda2b1-1aa6-4e94-954f-574a7a9b5c7b,Rau cải ngồng ,Rau lá,Hòa Bình,Lâm Đồng
c35ac233-cca3-4666-86b8-afaa54d074ba,Rau húng quế,Rau gia vị,Happiness Farm,Lâm Đồng
8f8b3419-d960-40d0-b8a2-e93a3aa6e029,Hành củ,Củ,Cầu Đất Farm,Lâm Đồng
0552d60c-8b38-4dd5-95be-c152645c4d5a,Giá đỗ,Rau gia vị,Greenbot,TP.HCM
e507ce8a-6599-4816-98c9-54b2bcbe50cf,Chanh không hạt,Trái cây,Cầu Đất Farm,Lâm Đồng
55937f90-5b80-48f0-aa99-29562a04e141,Dâu tây,Trái cây,Cầu Đất Farm,Lâm Đồng
7fcba7ba-7f74-4287-bfab-efab930514fa,Riềng,Củ,Cầu Đất Farm,Lâm Đồng
9c679bd2-a436-4dc5-8419-e7869190adf7,Củ đậu,Củ,Cầu Đất Farm,Lâm Đồng
10ba22c6-04ff-459a-b8a4-b0d2e0438956,Sả cây,Rau gia vị,Oganic Farm,TP HCM
0704609b-65b9-4ca9-857d-b9f5ed9ef750,Ớt xiêm xanh,Rau gia vị,Oganic Farm,TP HCM
d70d9dbd-eb54-4888-875f-4da384a5a0a5,Khoai mỡ,Củ,Oganic Farm,TP HCM
bb049c61-90d8-409c-ab84-baa8444a4fe0,Nấm hương,Nấm,Thế giới nấm,HCM
ac9cf104-d861-4f46-83ff-b218f1ee1f89,Su su,Rau quả,Oganic Farm,TP HCM
aee7e386-fe84-4b16-8b65-4d844e686ce5,Nấm đùi gà,Nấm,Thế giới nấm,HCM
201ba376-2945-4e67-a5da-bc72e08ce70d,Bắp tím,Lương thực,Cầu Đất Farm,Lâm Đồng
124b6214-1b3a-4649-9f0d-b9c690a70e66,Nấm mèo đen,Nấm,Thế giới nấm,HCM
a85e7c1e-115f-4f55-a4e5-dd6ce73fd290,Rau lang,Rau lá,Greenbot,TP.HCM
db3696a1-0136-4c07-a4cb-a206e724cfe6,Xà lách xoong,Rau lá,Greenbot,TP.HCM
2d02e101-5ee9-41ec-b347-a971001b5977,Chanh đào,Trái cây,Cầu Đất Farm,Lâm Đồng
b9e205bb-0b77-427d-a59d-008eaee578ca,Rau diếp cá,Rau gia vị,Greenbot,TP.HCM
485a8f26-f2fe-4e74-9c0f-7f16bf65a9e8,Bắp cải,Rau lá,Greenbot,TP.HCM
0adf1bbd-9d32-43a9-a6af-e1ba5ddbdf4e,Cải ngọt,Rau lá,Trang Trại Xanh,Dak Lak
b86b17df-2a9c-4b26-9238-5f5e966ddae4,Cà tím,Rau quả,Cầu Đất Farm,Lâm Đồng
177968e0-43e0-4917-95b2-64f6e26d2e25,Nấm đông cô,Nấm,Thế giới nấm,HCM
4f375901-b00e-49e5-9c77-eb0a598dd6ba,Rau húng quế,Rau gia vị,Trang Trại Quỳnh Ngọc,Dak Lak
301d330c-7c93-4d98-afe6-f495b8f38552,Rau húng quế,Rau gia vị,Trang Trại Xanh,Dak Lak
92527e2a-ed91-4d1e-bede-46028b75a1a3,Cam sành,Trái cây,Hòa Bình,Lâm Đồng
063c670e-811e-4b5a-93ff-89c1af30ef33,Bí Xanh,Rau quả,Xuyên Mộc,BRVT
7148f50f-8161-499d-8447-25a280ca2bbd,Cà rốt đỏ,Củ,Xuyên Mộc,BRVT
edeb67be-7462-4217-933a-328ca1ce611a,Cải Bẹ Xanh,Rau lá,Trang Trại Xanh,Dak Lak
9713b024-ec7a-4d46-a57a-29842c4df02e,Khoai tây,Củ,Trang Trại Xanh,Dak Lak
bfa825ec-c0dc-4cb7-8e71-e56351a93406,Rau mồng tơi,Rau lá,Trang Trại Xanh,Dak Lak
b22da9ef-9a0f-4936-9440-aa4fb45dfb48,Cỏ ngọt,Dược liệu,Thuốc Bắc,Quảng Nam
c5598931-19f2-4588-8f61-094d038c7269,Rau mồng tơi,Rau lá,Hòa Bình,Lâm Đồng
75e094a1-bd7c-4dd9-a8c9-e4e28ac625bb,Rau mồng tơi,Rau lá,Trang Trại Quỳnh Ngọc,Dak Lak
8e991b5f-b25e-44d3-a883-78f4f0384a05,Dưa hấu đỏ,Trái cây,Rau củ quả,Dak Lak
b8fe1fc1-e6c0-4c7f-beb9-801851d68a5b,Đinh lăng,Dược liệu,Thuốc Bắc,Quảng Nam
f5943e14-3c6e-46fb-a01d-fab1712c0421,Dưa lưới,Trái cây,Rau củ quả,Dak Lak
c47a943f-1ffc-4246-a43a-3c23ec599115,Chanh dây,Trái cây,Rau củ quả,Dak Lak
0d7ec92b-4140-4a1f-afcf-2b842938d50e,Rau má,Rau lá,Oganic Farm,TP HCM
7286579f-c9fb-4fbb-be0c-0c6293e95ce9,Hành tây,Củ,Oganic Farm,TP HCM
91ab155e-8de9-4e11-819c-619e3e3a2b80,Rau mồng tơi,Rau lá,Green Farm,Dak Lak
1809e731-c2cb-4155-8036-dd52131e92a2,Rau răm,Rau gia vị,Oganic Farm,TP HCM
18e7fd6b-a0fb-4017-8689-21a9ee7020cc,Dưa Chuột,Rau quả,Green Farm,Dak Lak
47b6d73a-e73e-4f68-89be-68e1d2ed2709,Xà lách búp,Rau lá,Happiness Farm,Lâm Đồng
5dedae03-b9c1-442e-aefe-6170e7a2aa6b,Rau muống,Rau lá,Trang Trại Xanh,Dak Lak
a5612187-6268-4a5a-8d31-5b03e1c73e49,Cải Bẹ Xanh,Rau lá,Trang Trại Quỳnh Ngọc,Dak Lak
e639b464-6d0a-4a96-a45b-d5ce23ccd3d8,Cải ngọt,Rau lá,Rau Hữu Cơ,Lâm Đồng
7c98427d-2501-4b7e-b69e-5d4496734bc7,Đậu đen,Lương thực,Green Noen,TP. Hồ Chí Minh
359b6a3c-b2df-4cac-a951-74217b325175,Đậu đỏ,Lương thực,Green Noen,TP. Hồ Chí Minh
77a202f0-8daf-4dfa-abae-9d9c1491cfe9,Xà lách búp,Rau lá,Green Farm,Dak Lak
703d54fb-7fb5-4a59-9ac1-ee22461c152b,Nấm sò,Nấm,Green Noen,TP. Hồ Chí Minh
850c5d2c-fd68-4f8e-8c6c-d806e3b4ebb7,Nấm thủy tiên,Nấm,Green Noen,TP. Hồ Chí Minh
f0e54b90-057e-4c7c-8e66-1b7fbfc0276d,Bí đỏ,Rau quả,Green Farm,Dak Lak
71d94b79-71b6-4e00-b0d2-d8f349ef2929,Mít thái,Trái cây,Trang Trại Quỳnh Ngọc,Dak Lak
fbb8ce28-fbcb-48b8-bffb-d2d5c43ee142,Mãng Cầu Xiêm,Trái cây,Rau củ quả,Dak Lak
19006f8c-ae90-4e6a-b058-d47dadeb8bf3,Bơ sáp,Trái cây,Trang Trại Quỳnh Ngọc,Dak Lak
7a84a556-1ce7-49c6-898b-7dff1e90a558,Bơ Booth,Trái cây,Trang Trại Quỳnh Ngọc,Dak Lak
3d867140-0f06-40bf-933e-786651722a42,Bơ bốn mùa,Trái cây,Trang Trại Quỳnh Ngọc,Dak Lak
056688ae-3eb3-4962-bd60-f743d110ca66,Đậu nành,Lương thực,Green Noen,TP. Hồ Chí Minh
f65e93b4-53e7-4a56-a3df-47cae2e462d8,Gạo ST24,Lương thực,Green Noen,TP. Hồ Chí Minh
b8e78200-4f48-45f6-9d4a-d16540c5add7,Ngô Bao Tử,Rau quả,Bình An, Bình Thuận
a3dfb4e4-f510-450f-8618-97cd71b45c6c,Cải Xoăn,Rau lá,PuppyFarm,Lâm Đồng
96704e75-69ab-46f5-b2f5-d934baa205ee,Mãng Cầu Xiêm,Trái cây,Trang trại trái cây,Quảng Nam
92cb63c7-2400-4c26-8b7e-40aa0228ef74,Bí đỏ,Rau quả,Trang Trại Quỳnh Ngọc,Dak Lak
5860deb7-6b4b-4d25-9f3c-b704b3906e34,Rau Đay,Rau lá,Bình An, Bình Thuận
32a5dac6-d725-4677-9bcd-abe67387bf33,Tắc (Quất),Trái cây,Bình An, Bình Thuận
f30b9771-0d97-4ffd-98be-6acf59273a15,Rau cải ngồng ,Rau lá,Green Farm,Dak Lak
98d3b13b-a4ff-43d3-bba5-9d8b0612a5ca,Lê,Trái cây,Bình An, Bình Thuận
bba9b794-28b8-4638-b8c8-47629c429733,Bí Xanh,Rau quả,Green Farm,Dak Lak
1e72998a-7b8b-4315-adf7-91fa9121ffa6,Cải Bẹ Xanh,Rau lá,Green Farm,Dak Lak
87bac591-c1e2-4d26-bd58-e1c64e9733a9,Cải ngọt,Rau lá,Green Farm,Dak Lak
d9b9c823-f7cb-405b-a7f1-7c4ff2e38dee,Vú Sữa,Trái cây,Bình An, Bình Thuận
3bf1108e-4b62-4df5-b5b5-273e195e7379,Xà Lách Mỡ,Rau lá,PuppyFarm,Lâm Đồng
a89617f7-ceb2-45d4-9647-57720450407d,Nấm kim châm,Nấm,Nấm Thiên Đường,Dak Lak
e130af80-bc18-4858-be7a-a4f72194da8e,Nhãn Lồng,Trái cây,Bình An, Bình Thuận
a57208a8-13d1-41ef-a742-35fa27a7135f,Mận Bắc,Trái cây,Bình An, Bình Thuận
bddfcaa8-5604-4119-a751-8215fa563107,Xà lách búp,Rau lá,PuppyFarm,Lâm Đồng
9fed2633-01b1-406e-9031-829b0d1b3cfc,Nấm rơm,Nấm,Nấm Thiên Đường,Dak Lak
6e7747f9-a868-4d35-93b6-8cc275f70ee2,Sầu Riêng Ri,Trái cây,Bình An, Bình Thuận
4f6f26a6-ee7e-410b-92dd-5b0a191abee7,Đọt Bí,Rau lá,Bình An, Bình Thuận
c84ecb00-47d9-4064-a841-803e63df8f23,Lá Mơ,Rau gia vị,Bình An, Bình Thuận
e7693ed6-a5b4-4383-8e54-be1c40ac04fa,Sơ Ri,Trái cây,Bình An, Bình Thuận
9b1acb85-0ccd-4afc-8a4c-19a59f810567,Vải Thiều,Trái cây,Bình An, Bình Thuận
4e62bed0-f564-42c9-9593-3a050dbd90fa,Cải Bó Xôi,Rau lá,Green Farm,Dak Lak
f2512fe1-a757-4e80-aecb-b04f62b4fd46,Mít Tố Nữ,Trái cây,Bình An, Bình Thuận
c1113961-7957-41bf-9b34-7339c6fcf3b4,Cóc,Trái cây,Bình An, Bình Thuận
e5a5a0d4-1de7-403f-8464-34ee1ba1416e,Ớt hiểm,Rau gia vị,Cầu Đất Farm,Lâm Đồng
024afd3f-cecd-434e-a8d4-95814bcac773,Ngò Gai,Rau gia vị,PuppyFarm,Lâm Đồng
ec2fa345-6c98-4539-818b-019518468e46,Mướp hương,Rau quả,Greenbot,TP.HCM
5f267152-e153-4d48-abff-346267a5c9cc,Bí đỏ,Rau quả,Xuyên Mộc,BRVT
ad8f9da9-7062-472e-9893-52a4c999a664,Khoai môn,Củ,Oganic Farm,TP HCM
cfd0f7a0-8a74-4cce-8f07-f499ad31b3f5,Khoai tây,Củ,Green Farm,Dak Lak
0aefea5a-03b3-44e5-9a69-03b727d22dfa,Cà rốt đỏ,Củ,Trang Trại Quỳnh Ngọc,Dak Lak
7ece191f-5a12-468b-aa29-dca3b690fd9c,Cỏ ngọt,Dược liệu,Happiness Farm,Lâm Đồng
0bcba2bf-abd4-4f27-9703-a96c4def237a,Rau húng quế,Rau gia vị,Green Farm,Dak Lak
217b798b-e613-45cb-9f8f-046b0bf61dff,Bạc hà,Rau gia vị,Happiness Farm,Lâm Đồng
5588b666-2f4b-4d9c-99da-7fcf62fcb18a,Bí Xanh,Rau quả,Trang Trại Quỳnh Ngọc,Dak Lak
c119f0ef-da67-49fa-8018-1302a761003e,Ớt Chỉ Thiên,Rau gia vị,PuppyFarm,Lâm Đồng
f4e7cca5-7bcb-4133-8572-328da7c75fba,Dưa Chuột,Rau quả,Happiness Farm,Lâm Đồng
e7105aee-0637-4191-adce-c424c573408f,Rau húng quế,Rau gia vị,Xuyên Mộc,BRVT
28fe39cb-f025-41ed-aeb1-458efb9e07c2,Xà lách búp,Rau lá,Xuyên Mộc,BRVT
f77d63b0-335c-49fe-b1e1-5bfaeb2815ac,Cải Thảo,Rau lá,Trang Trại Xanh,Dak Lak
d498e65c-5e5f-4cb9-8dc8-f2077663c60f,Xà lách búp,Rau lá,Bình Yên,Tiền Giang
771df843-38b4-45ac-bbe2-1ea482b77860,Nấm rơm,Nấm,Green Farm,Dak Lak
fb3e75a3-4e51-4ff6-b295-408714d4f03d,Nho Mỹ,Trái cây,Rau củ quả,Dak Lak
c38eadaf-8424-4f27-bb49-3f838ca26f28,Rau nhút,Rau lá,Trang Trại Xanh,Dak Lak
a3ef4a9b-0c76-48c0-95da-dfb895bcfce8,Rau dền xanh,Rau lá,Trang Trại Xanh,Dak Lak
843b8fe6-27c5-4ddf-a6d2-9d4e2ab8a6c8,Cà Chua Bi,Rau quả,PuppyFarm,Lâm Đồng
4858f914-3a37-4bbf-8f26-2de12a62db42,Ngò rí,Rau gia vị,Rau Hữu Cơ,Lâm Đồng
f685cea6-faf6-4e8c-83a6-700140484490,Tía tô,Rau gia vị,Trang Trại Xanh,Dak Lak
595ecbc3-673a-4d2a-b389-1ab9820a0b33,Ổi Hồng,Trái cây,Ngũ sắc,Dak Lak
9b7dc030-0a26-4cb7-8545-f3f1b6e642ea,Rau thì là,Rau gia vị,Trang Trại Xanh,Dak Lak
ee8aadd6-3875-41b4-846a-0ce5bb118452,Xà Lách Tím,Rau lá,PuppyFarm,Lâm Đồng
15ebe290-26c5-459b-80a6-5460995d67db,Cà rốt đỏ,Củ,Green Farm,Dak Lak
0ab7dc44-b6d7-4e06-b2d7-54cd4115ee22,Cà rốt đỏ,Củ,Hòa Bình,Lâm Đồng
7a0f989f-f75d-4983-be79-7cc80f0021c9,Ổi Hồng,Trái cây,Rau Hữu Cơ,Lâm Đồng
5e264091-95bf-4a75-bcc2-33960c09d499,Cải Bẹ Xanh,Rau lá,Happiness Farm,Lâm Đồng
731051b8-9cce-4cbd-9afc-22d4c5c5d792,Cải Thảo,Rau lá,Green Farm,Dak Lak
5dd48644-da12-4b93-a89c-7dca9ac58eed,Cải ngọt,Rau lá,Oganic Farm,TP HCM
33a17c81-c183-41d8-87e9-ac8689dd207e,Cam sành,Trái cây,Green Farm,Dak Lak
7e24a671-98a3-45b7-86a7-d8fdfb7005f5,Cà rốt đỏ,Củ,Trang Trại Xanh,Dak Lak
e20090d4-1b6f-43c5-84ea-379252d5c990,Nấm linh chi,Nấm,Nấm Thiên Đường,Dak Lak
3347df82-ca57-4d17-98f4-958e8e53d12f,Khoai Lang,Củ,Green Farm,Dak Lak
2ae5516a-ee07-489a-8d16-42113260fca2,Ổi Hồng,Trái cây,Rau củ quả,Dak Lak
8e422368-b502-45b9-8e16-5dc88e1b61bc,Rau muống,Rau lá,Trang Trại Quỳnh Ngọc,Dak Lak
4c6fa416-615f-4807-b968-9bf9cae1b131,Nấm tràm,Nấm,Nấm Thiên Đường,Dak Lak
2e48b0ca-29be-4331-a7f6-ec7713488af2,Rau dền xanh,Rau lá,Trang Trại Quỳnh Ngọc,Dak Lak
5e382b17-bec6-4816-9b46-985e78971b6d,Hành lá,Rau gia vị,Trang Trại Quỳnh Ngọc,Dak Lak
0abe0b3f-db26-4ade-b67b-b33ac969d524,Tía tô,Rau gia vị,Trang Trại Quỳnh Ngọc,Dak Lak
9661f0b9-a8b6-49fa-ab6d-304679b76cf1,Rau nhút,Rau lá,Trang Trại Quỳnh Ngọc,Dak Lak
76346a15-f86a-4e36-befa-e842a787a089,Ngò rí,Rau gia vị,Trang Trại Xanh,Dak Lak
b70952f7-94f5-43b2-9b3d-d3a72b2416cc,Rau thì là,Rau gia vị,Rau Hữu Cơ,Lâm Đồng
483811ce-3dfd-46b8-a852-5b6ece834034,Rau muống,Rau lá,Rau Hữu Cơ,Lâm Đồng
4ebfc054-39da-4b3c-9f11-9d423fa4e482,Bạc hà,Rau gia vị,Rau Hữu Cơ,Lâm Đồng
41c93acf-43f6-4679-badf-47bbfc1def43,Rau dền xanh,Rau lá,Happiness Farm,Lâm Đồng
996e16c3-8d63-41d1-8a64-1cc5cc14d680,Rau dền tím,Rau lá,Rau Hữu Cơ,Lâm Đồng
a892a150-9da8-4e08-a26a-f6aeaba7c6bd,Hành lá,Rau gia vị,Rau Hữu Cơ,Lâm Đồng
c10e57bf-93bf-425c-843a-bf104e7e12e6,Tía tô,Rau gia vị,Rau Hữu Cơ,Lâm Đồng
05da9d1d-93a3-4552-89fa-bf167993180c,Rau nhút,Rau lá,Rau Hữu Cơ,Lâm Đồng
6edc5aae-65c3-49be-926a-9140610964bc,Rau thì là,Rau gia vị,Trang Trại Quỳnh Ngọc,Dak Lak
5d0e2a7f-dd77-4c7a-adab-30248b5fb09e,Ngò rí,Rau gia vị,Trang Trại Quỳnh Ngọc,Dak Lak
05ff5762-10eb-48c8-b769-e2395389ab45,Xoài Keo,Trái cây,Trang trại trái cây,Quảng Nam
a2776811-eed7-4c4a-89af-e03466b9ad33,Rau muống,Rau lá,Happiness Farm,Lâm Đồng
96c522f6-4e25-4cf9-8b97-91383ad761de,Khoai Lang,Củ,Hòa Bình,Lâm Đồng
6261ab01-4a83-48da-bf60-85331280cde4,Cải Bó Xôi,Rau lá,Happiness Farm,Lâm Đồng
e9fcdf70-27d5-4da8-b082-3e3cfb515ba7,Rau dền xanh,Rau lá,Rau Hữu Cơ,Lâm Đồng
38de8777-e24e-477f-81df-ee4b63637b8b,Tía tô,Rau gia vị,Happiness Farm,Lâm Đồng
7c5306b9-9417-4fbc-845f-836af5531ec4,Hương thảo,Dược liệu,Thuốc Bắc,Quảng Nam
ac7f26d8-3103-4621-918a-c28f5859b668,Rau tần ô,Rau lá,Rau Hữu Cơ,Lâm Đồng
9347c0d3-e71d-420f-b001-7f406363f200,Ngải cứu,Dược liệu,Thuốc Bắc,Quảng Nam
43b912f3-b32d-4c84-b508-83f3052e2350,Xoài Keo,Trái cây,Rau củ quả,Dak Lak
85099c1a-c83e-4776-a44e-1344e28c93f9,Rau mồng tơi,Rau lá,Rau Hữu Cơ,Lâm Đồng
1ee13a8f-1e5e-4b87-be5b-3025ffc773d8,Cải ngọt,Rau lá,Hòa Bình,Lâm Đồng
891ad178-c9b5-45f7-889b-ea8fe3fdcb75,Khoai tây,Củ,Rau Hữu Cơ,Lâm Đồng
42610d29-5882-4d8c-8339-e2eee4fd46e7,Dưa Chuột,Rau quả,Rau Hữu Cơ,Lâm Đồng
2dc91836-8d62-4878-8d7b-c2dac6af933f,Cải Bó Xôi,Rau lá,Hòa Bình,Lâm Đồng
16dc77da-cb33-4093-832c-b7784f3910fe,Nấm rơm,Nấm,Hòa Bình,Lâm Đồng
5895c541-37c9-462e-9ff8-a89dd40d7bad,Dưa Chuột,Rau quả,Hòa Bình,Lâm Đồng
887d787f-fd37-4af1-827c-aabed635e47f,Khoai tây,Củ,Hòa Bình,Lâm Đồng
b729d242-4987-4c56-882d-d42f2acd5907,Rau mồng tơi,Rau lá,Xuyên Mộc,BRVT
